post_id,cuenta,fecha,me_gusta,comentarios,visualizaciones,link,descripcion,archivo_origen,prob_obstruccion_parental,prob_pension_alimentos,etiqueta
fundacion_crianza_compartida_01460,fundacion_crianza_compartida,2025-06-23T15:16:21.000Z,71.0,6.0,,https://www.instagram.com/fundacion_crianza_compartida/p/DLP30CLsY07/,"#consejos de #pensiónalimenticia para evitar ser un #deudoralimentario involuntario . 

#PensiónAlimenticia #corresponsabilidadeconómica #fundacióncrianzacompartidachile",instagram_fundacion_crianza_compartida.csv,0.0003237690543755,0.999750792980194,pension_alimentos
fundacion_crianza_compartida_01666,fundacion_crianza_compartida,2025-03-04T14:11:45.000Z,194.0,26.0,,https://www.instagram.com/fundacion_crianza_compartida/p/DGx8Lq0RyWp/,"Hola comunidad 😊 

Los invitamos a leer la columna de opinión escrita por la integrante de nuestra comunidad y colaboradora @francisca.flan quien en esta oportunidad escribe específicamente sobre la opacidad en la rendición de cuentas en el gasto de la pensión alimenticia . 

Déjanos tus reacciones y/o comentarios sobre esta problemática asociada a la corresponsabilidad económica. 

Defensores de la Opacidad y cuentas sin rendir en el pago de pensión alimenticia: ¿En qué se está gastando el dinero de la pensión ?

#PensiónAlimenticia #deudaalimentos #rendicióndecuentas #contraloría #corresponsabilidadeconómica #coparetalidad #Feminismo #8m",instagram_fundacion_crianza_compartida.csv,0.1060957983136177,0.9997507333755492,pension_alimentos
fundacion_crianza_compartida_01684,fundacion_crianza_compartida,2025-02-18T10:22:56.000Z,196.0,53.0,,https://www.instagram.com/fundacion_crianza_compartida/p/DGNe3SzxQDL/,"Revisa las partes más interesantes del Manifiesto contra la mercantilización de los vínculos parentales: El Precio de una Obligación escrito por @francisca.flan donde se hace una crítica al uso de la pensión alimenticia como instrumento de control y violencia económica. 

Déjanos tu opinión y/o experiencia en el uso abusivo de la pensión alimenticia . 

#pensionalimenticia #pensiondealimentos #deudaalimentos #deudoresalimentarios #deuda #corresponsabilidadeconómica #crianzacompartida",instagram_fundacion_crianza_compartida.csv,0.9987453818321228,0.9996025562286376,ambas
fundacion_crianza_compartida_01774,fundacion_crianza_compartida,2024-11-13T11:59:21.000Z,30.0,0.0,,https://www.instagram.com/abogadobryanveliz/reel/DCTuruqPFSO/,"La modificación de la pensión de alimentos en tiempos de crisis asegura que las obligaciones se ajusten a las nuevas circunstancias económicas.  Si necesitas asegurar el bienestar de tus seres queridos durante un juicio de alimentos, los alimentos provisorios pueden ser la solución.

 ¡En @legalfam.cl estamos para ayudarte! 

Contáctanos para más información y asesoría. 
📞👨‍⚖️📧
📧contacto@legalfam.cl
📱+56 9 8599 9051 📍Pedro Pablo Muñoz 350, oficina F  La Serena

#Abogado #abogadoschile #abogadodefamilia #abogadofamiliar #derechodefamilia #pensiondealimentos",instagram_fundacion_crianza_compartida.csv,0.0052049350924789,0.999594748020172,pension_alimentos
fundacion_crianza_compartida_01720,fundacion_crianza_compartida,2024-12-11T13:44:27.000Z,321.0,70.0,,https://www.instagram.com/fundacion_crianza_compartida/p/DDcKnMBRJ4I/,"Pregunta seria , muy seria . 

Nosotros tenemos nuestra interpretación y estamos trabajando para cambiar eso pero nos gustaría conocer lo que opinan ustedes. 

Nos parece muy importante el aporte económico de los padres , madres o cuidadores convivientes hacia los hijos . Falta avanzar no solo en sanción sino que en educación parental con respecto a la importancia de la presencia económica como inversión parental y como satisfacción personal como padres . 

Así también faltan formas de control del gasto de ese aporte económico que hoy en día sería considerado violencia de género ✅️ pero que en una legislación con perspectiva de infancia seria justo dar cuenta de que los recursos efectivamente se usan en beneficio de los hijos o es un exceso pedir lo que es normal en cualquier institución social incluyendo a la familia? 

Nos parece igual o más importante la contribución psicoafectiva y relacional , la presencia física que puedan tener niños y niñas con respecto a aquellos progenitores que conviven con ellos ( conciliación de vida familiar y laboral ) como aquellos progenitores que no conviven diariamente con ellos o que ejercen un cuidado compartido ( conciliación vida laboral , familiar y también tiempos de convivencia entre padres) .

¿ Por qué se le da más importancia al pago de pensión alimenticia que al cumplimiento de la relación directa y regular ? 

Los leemos 🤗

#pensionalimenticia #registrodeudoresalimentos #corresponsabilidadeconómica #relaciondirectayregular #regimendevisitas #crianzacompartida",instagram_fundacion_crianza_compartida.csv,0.0022474634461104,0.9994240999221802,pension_alimentos
fundacion_crianza_compartida_01176,fundacion_crianza_compartida,2025-12-06T15:47:07.000Z,246.0,13.0,,https://www.instagram.com/tejiendo_familias_fcc/reel/DR7W-8SgMl5/,"Formar una familia ensamblada implica integrarse a una dinámica que ya existe ( pero que mas adelante se verá influenciada por diversos factores: un padre, su hijo o hija, sus tiempos, sus acuerdos y una historia que sigue presente. Para muchas mujeres que comienzan una relación con un hombre que ya es papá, el proceso no pasa por reemplazar a nadie, sino por comprender los límites, acompañar a la pareja en su rol paterno y construir un espacio propio. Ese espacio —ese vínculo singular entre la madrastra y el hijastro— no está definido desde el comienzo, pero se va formando con el tiempo.

1. Cuando existe cuidado compartido entre el padre y la madre del niño, la madrastra se incorpora a un sistema donde las rutinas, las transiciones y las responsabilidades ya están distribuidas pero en la interacción cotidiana pueden verse modificadas y tensionadas conforme surgen nuevas condiciones. En ese escenario, el vínculo entre ella y el niño se construye a otro ritmo y desde un rol que respeta la estructura parental -una estructura que, al mismo tiempo, se ve influida por la propia familia ensamblada- y que puede aportar cercanía, estabilidad y presencia afectiva.

2. Cuando más adelante nace un hijo en común, ocurre algo esencial: esos niños no son solo hermanastros que comparten un espacio; son hermanos que crean un vínculo propio, con códigos, afectos e historias que les pertenecen. La familia que surge no es la suma de partes aisladas, sino una red donde cada relación aporta algo único y se entrelaza con las demás.

Entrar a la vida de un padre con hijos significa, desde el inicio, formar una familia ensamblada. Esa familia se verá influenciada por la dinámica entre los padres del niño, por la relación con la BIO, por la relación de pareja y, si así lo deciden, por la llegada de un hijo en común.

En Tejiendo Familias vemos esta realidad aparecer una y otra vez, cada vez con matices distintos pero con un hilo compartido: personas que, con paciencia y cuidado, encuentran su lugar en una estructura que ya funcionaba, hasta que finalmente todos -padres, hijos, madrastras y nuevos hermanos- construyen una familia que es verdaderamente suya.",instagram_fundacion_crianza_compartida.csv,0.9918358325958252,0.9987648129463196,ambas
hombresmaltratadoschile_02080,hombresmaltratadoschile,2024-02-26T00:24:50.000Z,98.0,12.0,,https://www.instagram.com/fundacion_crianza_compartida/p/C3yk6Eqx-E2/,"Entrevista a @hombresmaltratadoschile sobre pensión alimenticia , gastos extraordinarios y responsabilidad económica. 

Claudia Casanga es Abogada y Mediadora Familiar con diez años de experiencia en casos de alta complejidad familiar. Cuenta con diplomaturas en Litigación Familiar, Penal y en Protección y Prevención de Violencia. Además actualmente cursa un Magister en Derecho con mención en Derecho Penal.

Tal como siempre he dicho el pago de pensión de alimentos es un tema sensible y complejo los únicos consejos que puedo otorgar son que aquellos padres obligados a estos alimentos judicialmente ( ... ) 

La #LeyCrianzaCompartida busca que hijos e hijas de padres separados convivan el mismo tiempo con su mamá o papá, o que las decisiones respecto a ellos sean tomadas por igual. 🏡

¿Te sumas a esta iniciativa? Firma en el enlace de nuestra biografía ✍️⬇️
chng.it/VWNkLzzjFM

Entrevista completa en www.fundacioncrianzacompartidachile.cl

#pensionalimenticia #gastosextraordinarios #responsabilidadparental",instagram_hombresmaltratadoschile.csv,0.1072971001267433,0.9980199337005616,pension_alimentos
falsas_denuncias_chile_00358,falsas_denuncias_chile,2024-08-13T21:48:07.000Z,155.0,42.0,,https://www.instagram.com/falsas_denuncias_chile/reel/C-oC9egScck/,#pensiondealimentos #visitas #rdr #obstrucciondevinculo #derechosdelniño,instagram_falsas_denuncias_chile.csv,0.9129419922828674,0.9953363537788392,ambas
falsas_denuncias_chile_00306,falsas_denuncias_chile,2024-11-21T21:24:20.000Z,471.0,166.0,,https://www.instagram.com/falsas_denuncias_chile/reel/DCpfv6jR-s4/,#abogado #doctor #pensiondealimentos #abuso #padreehija #dolordepadre,instagram_falsas_denuncias_chile.csv,0.8418906927108765,0.994019627571106,ambas
falsas_denuncias_chile_00303,falsas_denuncias_chile,2024-11-26T22:06:30.000Z,223.0,78.0,,https://www.instagram.com/falsas_denuncias_chile/reel/DC2by8Kuar4/,#edmundovaras #onlyfama #abogadachanta #alcoholismo #alienacionparental #desvinculacionparental #visitas #pensiondealimentos,instagram_falsas_denuncias_chile.csv,0.9083743691444396,0.9901018738746644,ambas
