post_id,cuenta,fecha,link,descripcion,sujeto,archivo_origen,emotion_etiqueta,hate_speech_etiquetas
ni1diamas_02703,ni1diamas,2025-12-19T12:57:55.000Z,https://www.instagram.com/ni1diamas_/reel/DSch4o0kSF1/,La mujer Chilena y nuestra sociedad es bastante + inteligente que este grupo ideológico que solo quiere DESTRUIR AL HOMBRE Y FAMILIA aún hay ingenuas que las siguen pero cada segundo y minuto que pasa van siendo menos NADIE LES CREE NADIE LES COMPRA Y NUESTROS HOJOS NO SERÁN PRESA DE SUS DEGENERACIONES LLENAS DE ODIO Y DIVISIÓN #ni1diamas_ ⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️,feministas,instagram_ni1diamas_.csv,anger,hateful
padres_con_derechochile_03464,padres_con_derechochile,2024-12-23T12:07:58.000Z,https://www.instagram.com/padres_con_derechochile/reel/DD65OEpxTCs/,Miles de niños de chile secuestrados por Tribunales de Familia...y todos los delincuentes operadores del Servicio de mejor niñez para obstruir el régimen de visitas con Nuestros Hijos.  Amparados por el estado chile .curadores AdLitem y Consejeras Técnicas.así tratan a Miles de padres a lo largo de chile teniendo los años judicializados jugando al ping pong con ellos. y dilatando los informes periciales.  Está historia continuará ....comenta ..comparte y da link .. #LIVEhighlights #padresconderechochile #chile #nomasdenunciasfalsas #tribunalesdefamilia #sinfiltro #crianzacompartida #magovaldivia #amordehijo #protesta #tribunalesdefamilia #navidad #triste #nomasdenunciasfalsas #nomashijoshuerfanosdepadresvivos #unavelitaentuausencia #andreshernandez #arturito #feminismo #adrachile #adra #mejorniñez #boric #chilevision #24horas,tribunales de familia,instagram_padres_con_derechochile.csv,anger,hateful
padres_con_derechochile_03501,padres_con_derechochile,2024-11-16T23:41:52.000Z,https://www.instagram.com/padres_con_derechochile/reel/DCc3SWuutAd/,El feminazismo está creando estas lacras en chile y destruyendo a mujeres buenas.  ocupan la ley Funa hombres para denunciarte injustamente de abuso...paremos a estas dementes.  #chilevisionnoticias #chile #venezuela #loca #agresion #feminazis #padresconderechochile  #nomasdenunciasfalsas #denunciasfalsas #magovaldivia,feministas,instagram_padres_con_derechochile.csv,anger,hateful
ni1diamas_02809,ni1diamas,2025-11-29T12:06:25.000Z,https://www.instagram.com/ni1diamas_/p/DRo7uvAkWH4/,Definitivamente son tontas y están coludidas en esta red de corrupción y lucro #ni1diamas_ ⚠️⚠️⚠️⚠️,juezas,instagram_ni1diamas_.csv,anger,hateful
padres_con_derechochile_03413,padres_con_derechochile,2025-04-16T12:33:59.000Z,https://www.instagram.com/padres_con_derechochile/reel/DIgetGzReaX/,Mujjer Apuñ. ala  a su pareja delante de sus hijos... vulneración total.. según la ley 21.675 los únicos violentadires solo son los hombres.  comenta ..comparte ..y da link .@noticiaslivechile @elvitomartinez @radioagricultura @futurofm  #padresconderecho #padresconderechochile #mujeresquemienten #mujereschilena #amigayotecreo #derechosvulnerados #juicio #feminismo #masculinidad #anonimus #andreshernandez #arturito #javierrebolledo #libro #falsadenuncia #nomasdenunciasfalsas #ley21675 #leyfunahombres #nomashijosrehenes #mujer #padreehijo #kaiser #chile #chilevisión #tribunalesdefamilia,"ley 21.675, sistema judicial",instagram_padres_con_derechochile.csv,anger,hateful
ni1diamas_02751,ni1diamas,2025-12-11T15:56:15.000Z,https://www.instagram.com/ni1diamas_/reel/DSIQPW9ETzI/,Sicologa D.J. Una amenaza más sales a todas las redes por mal nacida y corrupta quedo claro? #ni1diamas_ de amanezcas ⚠️,psicólogas,instagram_ni1diamas_.csv,anger,"hateful, targeted, aggressive"
ni1diamas_02619,ni1diamas,2025-12-30T01:18:10.000Z,https://www.instagram.com/ni1diamas_/reel/DS3lqrGkYzo/,"JUEZAS - ABOGADAS - FUNDACIONES ASQUEROSAS - SICÓLOGAS CORRUPTAS - PROGRAMAS INMORALES Y MUJERES TOXICAS esta es la RED DE MALNACIDOS QUE TIENE ENFERMOS A PADRES Y NIÑOS YA QUE SOLO ESCUCHAN A MUJERES QUE SOLO VEN $ Detrás de un hijo , que un padre sea o no presente les importa UNA RAJA! Malditos corruptos!! NOS TRANSFORMARON EN MEROS CAJEROS AUTOMÁTICOS BASTAAAAAAA#ni1diamas_ ⚠️⚠️⚠️⚠️","juezas, abogadas, fundaciones, psicólogas",instagram_ni1diamas_.csv,anger,hateful
unpapaconsciente_03790,unpapaconsciente,2025-10-27T21:44:49.000Z,https://www.instagram.com/unpapaconsciente/p/DQVAbXljYoT/,"Progenitoras enfermas que manipulan a sus hijos para tener el control , junto a sus clan materno acostumbrado a repetir historias familiares. 
En su odio, prefieren al padre muerto, ya que no tienen límites. 
Lastima cuando se destape la verdad de estos casos terroristas. 
#leytocornal #hijosrehenes",madres,instagram_unpapaconsciente.csv,anger,hateful
ni1diamas_02940,ni1diamas,2025-10-29T22:51:45.000Z,https://www.instagram.com/ni1diamas_/p/DQaRrayEdkV/,"Hay que ser mala hasta los huesos , sinvergüenza, mentirosa , cruel y abusadora para borrar al padre de sus vidas #ni1diamas_",madres,instagram_ni1diamas_.csv,anger,"hateful, targeted, aggressive"
ni1diamas_02608,ni1diamas,2025-12-30T22:56:37.000Z,https://www.instagram.com/ni1diamas_/reel/DS57YRMEbP1/,Lo que menos han hecho es defender la familia son responsables de la destrucción del sistema YA NADIE LAS RESPETA YA NADIE LES CREE CORRUPTAS INDOLENTES CON AIRES DE INTOCABLES #ni1diamas_ ⚠️⚠️⚠️⚠️🤮🤮🤮🤮🤮,juezas,instagram_ni1diamas_.csv,anger,hateful
unpapaconsciente_03882,unpapaconsciente,2025-07-16T14:56:22.000Z,https://www.instagram.com/unpapaconsciente/p/DMLDzmoMa6c/,"Centros (y de alto costo) de revinculacion que son contratados por progenitoras para destruir… destruir al padre y sus hijos por el solo echo que esos niños quieren vivir y estar con su padre…  y que no es soportado por esas progenitoras. 

Cuando los centros de revinculación se transforman en un negocio, dejan de proteger a los niños… y comienzan a destruir vínculos.

No hay acompañamiento real, solo procesos fríos que buscan borrar al padre y repetir los mismos traumas que tanto daño han hecho por generaciones.

Las únicas que celebran son aquellas madres que viven del conflicto, no del amor.

Pero los hijos… los hijos crecerán. Y un día entenderán todo.
Ese día, la verdad dolerá… pero también liberará.

#violenciaintrafamiliar #violenciainfantil #hijosrehenes #maltratoinfantil","madres, centros de revinculación",instagram_unpapaconsciente.csv,anger,hateful
padres_con_derechochile_03264,padres_con_derechochile,2025-10-08T11:27:45.000Z,https://www.instagram.com/padres_con_derechochile/reel/DPi95D_kZDZ/,"Asi Mienten Miles de mujeres en tribunales de familia..y nacen las Falsas Denuncias amparadas por juezas y ministerios de la mujer.  Dañan a las  mismas mujeres y madres  buenas con esta actitud comenta . comparte y da link . #padresconderechochile #falsasdenuncias #nomasdenunciasfalsas #tribunalesdefamilia  #lamentira 
#padresconderecho #nomashijosrehenes #mujer #feminismo #engaño #justicia #mentira #viral #españa #chile #juezas","madres, tribunales de familia, juezas, ministerio de la mujer",instagram_padres_con_derechochile.csv,anger,hateful
falsas_denuncias_chile_01000,falsas_denuncias_chile,2023-06-02T15:07:37.000Z,https://www.instagram.com/falsas_denuncias_chile/reel/Cs_gxhORb_D/,#mujeres #feministas #falsasdenuncias #crianzacompartidachile,"madres, feministas",instagram_falsas_denuncias_chile.csv,others,hateful
padres_con_derechochile_03466,padres_con_derechochile,2024-12-20T14:20:55.000Z,https://www.instagram.com/padres_con_derechochile/reel/DDzaRH-RfA2/,Miles de niños y niñas Secuestrados por una obstructora de visitas  y por tribunales de familia..por años alejados de sus padres y abuelos ....delito amparado por organismos del estado ..por eso este 21 de dic te esperamos fuera del palacio la moneda . una velita en tu ausencia ..recordaremos. la tristeza de NO estar con nuestros hijos en. esta navidad 🎄#padresconderechochile #chile #nomasdenunciasfalsas #tribunalesdefamilia #sinfiltro #crianzacompartida #magovaldivia #amordehijo #crianzacompartida #feminazis #feminismo #tribunsles #desvinculacion #navidad #boric #corrupcion #adrachile #andreshernandez #arturito,"madres, tribunales de familia",instagram_padres_con_derechochile.csv,sadness,hateful
padres_con_derechochile_03424,padres_con_derechochile,2025-04-08T11:40:02.000Z,https://www.instagram.com/padres_con_derechochile/reel/DILyeljR6pD/,Femenina v/s feminista .. las mujeres chilenas se están quedando sola .por desvincular a padres de sus hijos.  comenta ..comparte y da link ..#padresconderecho #padresconderechochile #tik_tok #reels #tv #regimendevisitas #rdr #chilevisión #obstrucion #tribunales #tribunalesdefamilia #nomashijosrehenes #crianzacompartida #mujeres #madres #femenina #roro #andreshernandez #clubdelosdesvinculados #kaiser #magovaldivia #chile #viral #sinfiltro #amordehijo,feministas,instagram_padres_con_derechochile.csv,others,hateful
ni1diamas_02614,ni1diamas,2025-12-30T15:35:40.000Z,https://www.instagram.com/ni1diamas_/p/DS5JDvOEVm5/,"A todas esas mujeres con hijos carroñeras que han abusado de un sistema CORRUPTO lean bien , tengan dignidad al menos háganlo por esos niños que uds trajeron al MUNDO PARA HACERLOS SUFRIR #ni1diamas_ de mal nacidas ⚠️⚠️⚠️⚠️","madres, sistema judicial",instagram_ni1diamas_.csv,anger,hateful
falsas_denuncias_chile_00694,falsas_denuncias_chile,2024-11-27T21:21:54.000Z,https://www.instagram.com/falsas_denuncias_chile/reel/DC47_J-RXrz/,#boric #gobiernodechile #psicologa #ministradelamujer #feminismo #femimismoradical #carton,"feministas, Gabriel Boric",instagram_falsas_denuncias_chile.csv,others,hateful
ni1diamas_02933,ni1diamas,2025-10-31T11:13:10.000Z,https://www.instagram.com/ni1diamas_/p/DQeLL9ikaU4/,"O brujas que disfrutan con el dolor de sus hijos , están todas malditas por la pócima del odio #ni1diamas_ 🎃🎃👻",madres,instagram_ni1diamas_.csv,anger,hateful
ni1diamas_02898,ni1diamas,2025-11-09T23:25:17.000Z,https://www.instagram.com/ni1diamas_/p/DQ2pdHcETHO/,"Es tan brutal lo que implica que el sistema criminal actual te lleve al mismo infierno , con el objetivo de destruirte la vida a causa de mujeres malditas NO MADRES que usan a niños inocentes acompañados de una red perversa y corrupta que lucra con su dolor  sin asco a vista de todos impunemente , coludiéndose jueces , abogadas , peritos, psicólogos , fundaciones truchas , curadores ad ítem , políticos , feministas anti hombres y un sin fin de criminales de familias #ni1diamas_  PAPÁ DE ESTA SALIMOS JUNTOS !!⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️","sistema judicial, madres, jueces, abogadas, peritos, psicólogos, fundaciones, curadores ad litem, políticos, feministas",instagram_ni1diamas_.csv,anger,hateful
