fecha,me_gusta,comentarios,visualizaciones,descripcion,link
2025-12-31T15:18:02.000Z,170,9,NA,"🎗️ EN MEMORIA DE NIBALDO VILLEGAS
Profesor – Padre – Víctima de un crimen que destruyó una familia.

📌 ¿Qué ocurrió?

🕯️ El 10 de agosto de 2018, el profesor Nibaldo Villegas fue citado por su ex pareja con el pretexto de celebrar su cumpleaños. Ese mismo día fue brutalmente asesinado y descuartizado por su ex pareja, Johanna Hernández, y su cómplice Francisco Silva.

👨‍👩‍👧 Vulneraciones a la paternidad

📍 Ruptura del vínculo familiar:
Antes del crimen, Nibaldo tenía una relación con su hija y era una figura paterna central en su vida. Su muerte rompió de forma irreversible ese vínculo afectivo y protector.

📍 Disputa legal de tuición:

La custodia de su hija estaba en disputa y la justicia había otorgado la tuición temporal a Nibaldo, reflejando su compromiso con el rol de padre. Esa disputa se vio truncada por el trágico crimen. 

📍 Impacto sobre su hija:

La hija quedó sin su padre, sin posibilidad de seguir construyendo su relación afectiva y cotidiana con él. Este tipo de pérdida causa daños emocionales profundos que no pueden repararse con el tiempo.

📍 Explotación de beneficios estatales:

Posterior al asesinato, se denunció que la autora del crimen recibió bonos estatales en nombre de sus hijos, sin que estos beneficios llegaran a la hija de Nibaldo adeudadamente.

📌 Consecuencias del crimen

⚖️ Justicia:

La ex pareja de Nibaldo fue condenada por parricidio con presidio perpetuo calificado y su cómplice por homicidio calificado.

❤️ La hija y la familia:

Quedaron marcados por una pérdida irreparable. La comunidad y la familia recuerdan a Nibaldo como un padre amoroso, dedicado a sus hijos y su educación.

✩ En memoria de Nibaldo, por el derecho de toda hija e hijo a crecer con su padre seguro, presente y amado.

https://www.emol.com/noticias/Nacional/2018/08/23/918044/La-compleja-situacion-de-hija-en-comun-entre-el-profesor-asesinado-en-Villa-Alemana-y-ex-pareja-imputada-por-el-crimen.html?utm_source=chatgpt.com",https://www.instagram.com/falsas_denuncias_chile/reel/DS7q2WgjsQa/
2025-12-29T16:08:03.000Z,51,1,NA,"La baja eficiencia de atención de la Defensoría de la Niñez (Chile) en los requerimientos recibidos:

Como complemento a las fuentes y la estadística, La Defensoría de la Niñez se declara para la mayoría de los casos que "" no cuenta con las competencias"" rechazando electrónicamente el requerimiento y sin un firmante con nombre y apellido que haya analizado la situación. Recibe además en torno a 4 mil millones de pesos al año de presupuesto, en el cual existen unos 79 cargos a lo largo del pais, 2 de sus 4 directoras vienen del Ministerio de la Mujer y no tenían experiencia en infancia antes de asumir de directoras de la institución.
 

🔵1 julio 2022 – 30 junio 2023:

📌 Requerimientos recibidos: 4.121 

📌 Acciones formales documentadas:
• 36 denuncias penales
• 83 denuncias administrativas
• 61 medidas de protección
💡 Total acciones formales: ≈ 180
📊 Eficiencia estimada: ≈ 4.4 %

Bajo porcentaje de casos con intervención formal comparado con el total de solicitudes recibidas. 

🔵1 julio 2024 – 30 junio 2025:

📌 Requerimientos recibidos: 2.787 
El Periodista

📌 Acciones formales documentadas:
• 15 denuncias penales
• 27 querellas
• 17 amicus curiae

💡 Total acciones formales: ≈ 59
📊 Eficiencia estimada: ≈ 2.1 %.

La proporción de intervenciones formales también fue muy baja, incluso menor que en el periodo anterior.

 Fuentes:

• Cooperativa: Informe Anual Defensoría de la Niñez 2023 (muestra 4.121 requerimientos) 
Cooperativa.cl

• El Periodista: Informe Anual Defensoría de la Niñez 2025 (2.787 requerimientos) 
El Periodista",https://www.instagram.com/falsas_denuncias_chile/reel/DS2l9GcjoZu/
2025-12-26T22:39:51.000Z,615,51,NA,NA,https://www.instagram.com/chile_in_justo_/reel/DSvZUW8j6n1/
2025-12-26T16:41:07.000Z,77,9,NA,NA,https://www.instagram.com/chile_in_justo_/reel/DSu4BJjDvI9/
2025-12-26T13:32:16.000Z,589,50,NA,#padre #hijo #tribunales #deseo #falsasdenuncias  @diputadourruticoechea @kaiser_pnl @ni1diamas_  @chile_in_justo_,https://www.instagram.com/falsas_denuncias_chile/reel/DSunq2Lji9R/
2025-12-24T15:07:44.000Z,230,21,NA,"#navidad #santaclaus #deseos #regalo
@kaiser_pnl @joukaiser @diputadourruticoechea @ni1diamas_",https://www.instagram.com/falsas_denuncias_chile/reel/DSpo7CxjlwJ/
2025-12-24T13:37:00.000Z,121,14,NA,#navidad #niños #regalo #padre #falsasdenuncias,https://www.instagram.com/falsas_denuncias_chile/reel/DSpeqDkjsEJ/
2025-12-24T22:51:12.000Z,89,9,NA,NA,https://www.instagram.com/chile_in_justo_/p/DSpY3BZjiwL/
2025-12-23T23:01:21.000Z,639,84,NA,"A mi papá le encantaba la Navidad, era la fiesta del año que más alegría le generaba. Desde que nos reencontramos (hace 8 años aprox) hemos podido sanar desde el amor de padre e hijo, junto con luchar juntos contra las injusticias de este país. 

A mí papá le agradezco todo, hoy soy una persona muy respetada y querida por quienes me conocen, trabajo, estudio y me va bien, todo ésto era lo que siempre él quiso para mí y consiguió que así fuera. Todo eso gracias a la formación y enseñanzas que me dio con su sabiduría y amor incondicional.

En las fotos les estoy mostrando un adorno, el cual mi papá ponía en la mesa de centro para todas las navidades que pasamos juntos desde que nos volvimos a ver. Él siempre decía que los dos niños que aparecen en éste éramos mi hermano y yo, con la esperanza de que algún día ambos estuviéramos con él. 

Es muy posible que haya mucha gente que esté leyendo esto y no nos conozcamos. Pero quiero pedirles un favor, no es obligación hacerlo.

Mi petición es para quien le nazca hacerlo y lo agradecería enormemente. Les quería pedir que puedan esta Navidad encender una vela por mi papá y por todos esos padres que sufren por no ver a sus hijos producto de las falsas denuncias.

🕯️🎄🕊️

No más falsas denuncias.

Les deseo cariñosamente unas excelentes fiestas a todos quienes han apoyado a mi amadísimo padre.

Jorge Andrés Tocornal.",https://www.instagram.com/jorge.tocornal/p/DSn4Y1zj6O4cCL3YxCzrwaq2NV8R0RIsHtfSnA0/
2025-12-22T21:39:47.000Z,150,17,NA,#simpertigue #acusacionconstitucional #poderjudicial #suprema,https://www.instagram.com/falsas_denuncias_chile/reel/DSlMV0gDrAy/
