fecha,me_gusta,comentarios,visualizaciones,descripcion,link
2025-12-31T23:18:04.000Z,34,5,NA,"Celebrar tal vez no, agradecer y comprometerme a trabajar más que nunca para que nuestros hijos vuelvan a casa , SI , JUNTOS ESTE 2026 LO DAMOS VUELTA !! 🤍💥💫💪🏻 que sea un gran 2026 para todos los padres de Chile #ni1diamas_",https://www.instagram.com/ni1diamas_/p/DS8iFDykdHV/
2025-12-31T18:06:20.000Z,76,1,NA,🤮🤮 #ni1diamas_,https://www.instagram.com/ni1diamas_/reel/DS7yegyEQQl/
2025-12-31T13:03:33.000Z,125,24,NA,Estas son las mal nacidas que atacan a nuestros padres ESTA PINTURITA SABRÁ QUE ES UNA INJURIA Y CALUMNIA SIN PRUEBAS ella sabe perfectamente que su amiga Lazcano es una ACTIVISTA DEL FEMINISMO EXTREMO pero ella al ser amiga de juezas y esta red corrupta se siente con el derecho de insultar  LOS INVITO A SALUDARLA ESTE FIN DE AÑO #ni1diamas_ de feministas mal nacidas 🤮🤮🤮🤮🤮🤮🤮🤮🤮💩💩💩💩💩💩💩,https://www.instagram.com/ni1diamas_/reel/DS7cQkkETNQ/
2025-12-31T01:16:46.000Z,86,16,NA,#ni1diamas_ un circo 🎪,https://www.instagram.com/ni1diamas_/p/DS6Ljy-kajq/
2025-12-31T01:33:00.000Z,72,1,NA,"Esperó el momento adecuado protegiendo la salud mental ante todo, el tiempo mata la mentira dándole corta vida #ni1diamas_ @juniorplayboy69 buena y gran opción ✌🏻apoya nuestra causa !",https://www.instagram.com/ni1diamas_/reel/DS6Ge34EWZt/
2025-12-31T00:24:21.000Z,289,3,NA,"No obligaron a fallar , nos alejaron sin quererlo , nos obligaron a que nuestros hijos sean huérfanos de papás vivos #ni1diamas_ ⚠️⚠️⚠️⚠️",https://www.instagram.com/ni1diamas_/reel/DS5-FmjkbPl/
2025-12-30T22:56:37.000Z,36,5,NA,Lo que menos han hecho es defender la familia son responsables de la destrucción del sistema YA NADIE LAS RESPETA YA NADIE LES CREE CORRUPTAS INDOLENTES CON AIRES DE INTOCABLES #ni1diamas_ ⚠️⚠️⚠️⚠️🤮🤮🤮🤮🤮,https://www.instagram.com/ni1diamas_/reel/DS57YRMEbP1/
2025-12-30T22:45:31.000Z,27,4,NA,Fundaciones? O mejor operadores sinvergüenza? La corrupción llego más lejos de lo@tolerable en Chile y tribunales de familia #ni1diamas_ ❌❌❌🤮🤮🤮🤮,https://www.instagram.com/ni1diamas_/reel/DS56JuFkZut/
2025-12-30T22:34:45.000Z,21,6,NA,"Así es sicólogas que están enfermas de la@cabeza , irreal pero real #ni1diamas_ 🤮🤮🤮",https://www.instagram.com/ni1diamas_/reel/DS544cIEfT9/
2025-12-30T22:25:32.000Z,37,18,NA,"Si te quedas callado ERES UN CÓMPLICE del crimen que tus colegas están haciendo contra la familia Chilena , en su gran mayoría MUJERES con ideologías satánicas que solo buscan engañar para lucrar y adoctrinar .OPORTUNISTAS LADRONES SINVERGÜENZAS CORRUPTAS INDOLENTES EN FIN CRIMINALES DE TOMO Y LOMO #ni1diamas_ @colegiodeabogadoschile",https://www.instagram.com/ni1diamas_/reel/DS53sbzkYBs/
2025-12-30T18:57:42.000Z,28,3,NA,"Los grandes responsables de TODA ESTA MIERDA desde ahí nace esta aberración, son delincuentes que NADIE SABE CÓMO no han tenido sanciones a la fecha sería bueno saberlo @colegiodeabogadoschile o ustedes también son parte de esta RED? Lamentablemente pagan justos por pecadores pero si ustedes mismos no SACAN EL CANCER DE SUS FILAS todos uds son cómplices #ni1diamas_ 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥",https://www.instagram.com/ni1diamas_/p/DS5gLcnEUKj/
2025-12-30T18:50:27.000Z,32,11,NA,Estamos frente a una red que solo mediante su ideología ha logrado generar 💰 BILLONES DE DÓLARES EN CHILE CON EL DOLOR DE NUESTROS HIJOS Y LA COMPLICIDAD DE MUJERES CORROMPIDAS POR LA AMBICIÓN CRIMINAL #ni1diamas_,https://www.instagram.com/ni1diamas_/p/DS5fWWckSP1/
2025-12-30T15:35:40.000Z,73,4,NA,"A todas esas mujeres con hijos carroñeras que han abusado de un sistema CORRUPTO lean bien , tengan dignidad al menos háganlo por esos niños que uds trajeron al MUNDO PARA HACERLOS SUFRIR #ni1diamas_ de mal nacidas ⚠️⚠️⚠️⚠️",https://www.instagram.com/ni1diamas_/p/DS5JDvOEVm5/
2025-12-30T15:28:09.000Z,111,21,NA,"No + abusos de estas CHUPASANGRE avaladas por corruptas juezas de “familia” , les importa un carajo sus hijos para que decir el padre de sus hijos SOLO BUSCAN PLATA Y REVENTARTE LA VIDA , pero me aburrí y SIN MIEDO CON TODA MI ENERGÍA QUE QUEDA VOY A CADA UNA DE ESTAS 2 MUJERES QUE DESGRACIADAMENTE ELEGI Pésimamente como madre de mis hijos DESENMASCARAR FRENTE A TODO CHILE POR LADRONAS INHUMANAS DESVERGONZADAS COLUDIAS LUEGO DE ODIARSE PARA DESTRUIR AL PADRE DE SUS HIJOS. Que vengan de buenos colegios o familias con apellidos de hartas dobles R o buena situación familiar , no te dice nada , detrás de cada una se esconde un pobre ser humano que aplica sus traumas en tu contra típico de hijas de alcohólicos , locas o sinvergüenzas  estafadores DONDE TERMINAMOS NOSOTROS PAGANDO ESTA CUENTA PARA QUE ELLAS SIGAN REPITIENDO LOS MISMOS PATRONES SIN HACERSE CARGO DE SUS VIVENCIAS QUE LAS TIENEN LLENAS DE ODIO, resumen LA PEOR ELECCIÓN DE MADRES PARA MIS HIJOS Y ME HGO CARGO DE DECIRLO Y EVITAR QUE OTROS CAIGAN EN SUS ASQUEROSAS TRAMPAS #ni1diamas_ de estas mujeres escoria abusadoras sin ética ni moral menos buenas costumbres⚠️⚠️⚠️⚠️⚠️⚠️",https://www.instagram.com/ni1diamas_/reel/DS5HCbtEVfv/
2025-12-30T13:37:45.000Z,170,16,NA,"Desinformar ya se transformó en una práctica habitual en mujeres que se hacen las víctimas , esta no tiene moral ni si quiera para hablar y lo que habla es basura y ruido para engañar #ni1diamas_ de INMORALES ❌",https://www.instagram.com/ni1diamas_/reel/DS47Z_xkf8k/
2025-12-30T13:27:46.000Z,69,10,NA,"Este es el tipo de mujer con hijos de hoy que abusa del sistema permisivo ilógico de los ladrones de Juzgados de familia. Ellas gozan robándole al padre mientras ella la madre se hace la víctima para mantener el status que solo puede obtener robándole al ex marido. MALDITO SISTEMA CORRUPTO IDEOLÓGICO FEMINISTA QUE ES INCONSISTENTE , quieren IGUALDAD SOLO EN LO QUE LES CONVIENE PERO CUANDO DEBEN RESPONSABILIZARSE EN ALGO YA EL TEMA IGUALDAD NO LES GUSTA , son una manga de sinvergüenzas nada más encubiertas en un género por conveniencia dan asco #ni1diamas_ ⚠️⚠️⚠️⚠️",https://www.instagram.com/ni1diamas_/p/DS46a2AkYWW/
2025-12-30T01:29:07.000Z,248,63,NA,"Esto no puede seguir! El padre también sufre se enferma y deprime pero aún así lo@terminan reventándole su vida , mal nacidos! #ni1diamas_ ⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️",https://www.instagram.com/ni1diamas_/p/DS3oLYxEQMF/
2025-12-30T01:18:10.000Z,135,5,NA,"JUEZAS - ABOGADAS - FUNDACIONES ASQUEROSAS - SICÓLOGAS CORRUPTAS - PROGRAMAS INMORALES Y MUJERES TOXICAS esta es la RED DE MALNACIDOS QUE TIENE ENFERMOS A PADRES Y NIÑOS YA QUE SOLO ESCUCHAN A MUJERES QUE SOLO VEN $ Detrás de un hijo , que un padre sea o no presente les importa UNA RAJA! Malditos corruptos!! NOS TRANSFORMARON EN MEROS CAJEROS AUTOMÁTICOS BASTAAAAAAA#ni1diamas_ ⚠️⚠️⚠️⚠️",https://www.instagram.com/ni1diamas_/reel/DS3lqrGkYzo/
2025-12-29T22:32:48.000Z,85,4,NA,"Esa es la verdadera realidad de los padres NO VEMOS A NUESTROS HIJOS pero  la madre si estira la mano para seguir sacándote plata aunque estés en la calle o quebrado, HAY QUE SER MUY MAL NACIDA. Su forma de felicidad radica en destruirte y hacerte sentir un cajero automático #ni1diamas_ ⚠️⚠️⚠️⚠️⚠️",https://www.instagram.com/ni1diamas_/p/DS3UABXEUp4/
2025-12-29T16:10:37.000Z,122,0,NA,Estas ideologías baratas solo@destruyen ya las de su mismo género NO QUIEREN MÁS BASURA FEMINISTA EXTREMA QUE DAÑA NIÑOS Y FAMILIAS COMPLETAS!!!⚠️⚠️⚠️⚠️⚠️🖐🏻🖐🏻🖐🏻 #ni1diamas_,https://www.instagram.com/ni1diamas_/reel/DS2oJ_1EbrS/
2025-12-29T16:03:37.000Z,18,1,NA,Flojos de 💩💩💩 los niños son primero #ni1diamas_ @diputadourruticoechea @joukaiser @falsas_denuncias_chile @chile_in_justo_,https://www.instagram.com/ni1diamas_/p/DS2nLowkcoP/
2025-12-29T10:45:41.000Z,131,4,NA,Escuchalo bien #ni1diamas_,https://www.instagram.com/ni1diamas_/reel/DS2C7iIER5V/
2025-12-28T22:54:34.000Z,72,0,NA,Poseída 😂😂 #ni1diamas_,https://www.instagram.com/ni1diamas_/reel/DS0xocTkRLH/
2025-12-28T22:51:47.000Z,286,10,NA,#ni1diamas_ 🤍,https://www.instagram.com/ni1diamas_/reel/DS0xSQ_kTB4/
2025-12-28T22:34:46.000Z,41,0,NA,Siempre. #ni1diamas_ 🤍,https://www.instagram.com/ni1diamas_/reel/DS0vUWekWl3/
2025-12-28T17:35:42.000Z,282,10,NA,"Por más ejemplos como este , proteger a nuestros hijos  es tarea de ambos #ni1diamas_ 🤍🤍🤍",https://www.instagram.com/ni1diamas_/reel/DS0M8FTkemn/
2025-12-28T16:17:52.000Z,35,2,NA,Queremos profesionales con perspectiva de infancia #ni1diamas_  se debe hacer una limpieza estructural castigando el lucro y corrupción de quienes hayan ABUSADO de nuestros hijos,https://www.instagram.com/ni1diamas_/p/DS0ETCVkaIH/
2025-12-28T13:41:35.000Z,71,2,NA,#ni1diamas_,https://www.instagram.com/ni1diamas_/p/DSzyacrEXmk/
2025-12-28T13:41:12.000Z,21,0,NA,#ni1diamas_,https://www.instagram.com/ni1diamas_/p/DSzyXhJEWe2/
2025-12-28T13:40:42.000Z,21,7,NA,#ni1diamas_,https://www.instagram.com/ni1diamas_/p/DSzyT-ZkWEH/
2025-12-28T13:40:16.000Z,24,0,NA,#ni1diamas_,https://www.instagram.com/ni1diamas_/p/DSzyQzJkZrW/
2025-12-28T13:26:00.000Z,288,1,NA,"Lamentablemente la madre cuando tu hija ya es mayor las INOCULAN con mentiras de tiempos pasados que no existen recuerdos para únicamente alejarla dado esa complicidad existente del día a día. Mienten , no resuelven , se hacen cómplices de esta GRAN MENTIRA usándolas y alejándolas del padre por un ego absurdo que solo quiere justificar a través del castigo emocional LA MENTIRA pero esta tiene corta vida y todo ese daño se volverá tarde o temprano en su contra cuando la VERDAD sea asimilada por esa hija que fue ENGAÑADA por su madre #ni1diamas_ ⚠️",https://www.instagram.com/ni1diamas_/reel/DSzv2ypEZGs/
