fecha,me_gusta,comentarios,visualizaciones,descripcion,link
2025-12-23T18:13:15.000Z,542,30,NA,"Estamos a 1 día de Navidad 🎄
Y esta última semana en No Más Hijos Rehenes – Candia, Cordero & Pacheco hemos recibido decenas de consultas de padres que, tras largos y desgastantes juicios por relación directa y regular, por fin iban a pasar su primera Navidad con sus hijos y la familia paterna.
Sin embargo, a días de esta fecha tan esperada, muchos han sido sorprendidos por denuncias falsas y medidas cautelares de alejamiento, utilizadas como una herramienta para:
❌ Arruinar la Navidad
❌ Desconocer resoluciones judiciales vigentes
❌ Provocar el mayor daño emocional posible
❌ Separar nuevamente a niños de sus padres
❌ Aprovechar que, incluso si la acusación resulta falsa, generalmente no existen consecuencias
Esto no es justicia.
Esto no protege a los niños.
Esto instrumentaliza el sistema y genera un daño profundo e irreparable en vínculos que ya han sido duramente afectados.
👉 Ningún niño debería ser usado como rehén emocional.
👉 Ningún padre debería perder a sus hijos por denuncias falsas.
👉 Las resoluciones judiciales deben respetarse.
Si estás viviendo una situación similar, no estás solo. Actuar a tiempo puede marcar la diferencia.
📲 Escríbenos por WhatsApp: +56 9 3770 5593
📧 Correo: info@nomashijosrehenes.cl
🔁 Comparte este mensaje.
💬 Escríbenos.
⚖️ Defiende el vínculo con tus hijos.
No Más Hijos Rehenes Chile - Candia, Cordero & Pacheco",https://www.instagram.com/nomashijosrehenes.cl/p/DSnUAswjugn/
2025-12-18T21:29:26.000Z,19,1,NA,www.nomashijosrehenes.cl,https://www.instagram.com/nomashijosrehenes.cl/reel/DSa37bgkv79/
2025-12-18T14:17:40.000Z,121,8,NA,www.nomashijosrehenes.cl,https://www.instagram.com/nomashijosrehenes.cl/reel/DSaGen8jr-R/
2025-12-15T20:03:14.000Z,39,4,NA,www.nomashijosrehenes.cl,https://www.instagram.com/nomashijosrehenes.cl/reel/DSS_tV8kqul/
2025-12-14T13:22:06.000Z,17,0,NA,www.nomashijosrehenes.cl,https://www.instagram.com/nomashijosrehenes.cl/reel/DSPtAJxjjx1/
2025-12-02T12:52:03.000Z,13,0,NA,"✨ ABSOLUCIÓN LOGRADA ✨
Hoy se obtuvo un resultado justo: mi representado fue ABSUELTO del delito de desacato en contexto de violencia intrafamiliar.

Luego de un juicio donde se revisaron todos los antecedentes, se probó que él jamás intentó vulnerar la medida cautelar, y que su única intención era ejercer su rol de padre y ver a su hija, conforme al régimen vigente.

La evidencia fue clara:
✔ Testigos que acreditaron que asistió al lugar solo para ver a su hija.
✔ Que en ningún momento buscó acercarse a la denunciante.
✔ Que no hubo conducta agresiva ni intención dolosa.
✔ Que el contacto visual fue iniciado por la niña.

Este caso demuestra que la justicia también reconoce cuando un padre actúa desde el amor, no desde la violencia.

Seguimos trabajando para que ningún vínculo sano entre padre e hijo sea criminalizado injustamente. 💼⚖️👨‍👧",https://www.instagram.com/nomashijosrehenes.cl/reel/DRwwA_rjvyK/
2025-11-25T15:35:23.000Z,8,0,NA,"Nada, ni nadie, debe romper el vínculo entre un padre, una madre y sus hijos.
Usar a un niño como herramienta o arma solo deja heridas profundas… heridas que pueden durar toda la vida. 💔

En nomashijosrehenes.cl te acompañamos, te orientamos y te entregamos la información que necesitas para enfrentar estas situaciones de la mejor manera posible.
No estás solo. Estamos para ayudarte.

👉 Comunícate con nosotros en nomashijosrehenes.cl

#NoMasHijosRehenes #ProtegeElVinculo #JusticiaFamiliar #DerechosDeLosNiños #ApoyoFamiliar #Chile #AcompañamientoLegal #FamiliasUnidas",https://www.instagram.com/nomashijosrehenes.cl/reel/DRfBKVdjuPX/
2025-11-25T00:37:56.000Z,19,0,NA,"✨ ABSOLUCIÓN LOGRADA ✨
Hoy se obtuvo un resultado justo: mi representado fue ABSUELTO del delito de desacato en contexto de violencia intrafamiliar.

Luego de un juicio donde se revisaron todos los antecedentes, se probó que él jamás intentó vulnerar la medida cautelar, y que su única intención era ejercer su rol de padre y ver a su hija, conforme al régimen vigente.

La evidencia fue clara:
✔ Testigos que acreditaron que asistió al lugar solo para ver a su hija.
✔ Que en ningún momento buscó acercarse a la denunciante.
✔ Que no hubo conducta agresiva ni intención dolosa.
✔ Que el contacto visual fue iniciado por la niña.

Este caso demuestra que la justicia también reconoce cuando un padre actúa desde el amor, no desde la violencia.

Seguimos trabajando para que ningún vínculo sano entre padre e hijo sea criminalizado injustamente. 💼⚖️👨‍👧",https://www.instagram.com/nomashijosrehenes.cl/reel/DRdaciejGu9/
2025-11-18T18:01:51.000Z,24,0,NA,"En Chile, cada día surgen nuevas falsas denuncias que dejan a personas inocentes atrapadas en procesos largos, injustos y dolorosos.
Peor aún: muchas veces los hijos terminan siendo usados como herramientas de presión, quedando en medio de conflictos que no les corresponden.

En No Más Hijos Rehenes trabajamos para visibilizar esta realidad y entregar apoyo, información y opciones reales para quienes están viviendo una acusación injusta.
Nadie debería enfrentar esto solo. Nadie debería ser tratado como culpable sin pruebas. Y ningún niño debería convertirse en rehén emocional o legal.

🔗 Infórmate, conoce tus derechos y encuentra guía en nomashijosrehenes.cl

#NoMasHijosRehenes #FalsasDenuncias #Inocentes #Derechos #JusticiaChile #ProteccionInfantil #Chile #ApoyoLegal #PadresInjustamenteAcusados",https://www.instagram.com/nomashijosrehenes.cl/reel/DRNQXd6j998/
2025-11-16T20:01:29.000Z,25,1,NA,www.nomashijosrehenes.cl,https://www.instagram.com/nomashijosrehenes.cl/reel/DRIUawEEvbM/
2025-11-04T00:07:25.000Z,87,9,NA,www.nomashijosrehenes.cl,https://www.instagram.com/nomashijosrehenes.cl/reel/DQnSPE4DAIa/
2025-10-22T21:09:59.000Z,20,4,NA,"🧑‍⚖️ Nuevo caso recibido
Hoy asumimos la defensa de un padre injustamente denunciado por violencia intrafamiliar.
La denunciante —su ex cónyuge— ya había señalado anteriormente una supuesta infidelidad, sin presentar prueba alguna.
Todo apunta a que esta denuncia responde más a un acto de despecho que a hechos reales.

En No Más Hijos Rehenes, defendemos con firmeza a los padres víctimas de denuncias infundadas y utilizamos todas las herramientas legales para demostrar la verdad y proteger su vínculo con sus hijos. 💪👨‍👧‍👦

#NoMasHijosRehenes #DefensaDePadres #JusticiaFamiliar #DenunciasFalsas #VIF #DerechoDeFamilia #AbogadosChile",https://www.instagram.com/nomashijosrehenes.cl/reel/DQIEaUliLIJ/
2025-10-21T13:13:12.000Z,24,1,NA,www.nomashijosrehenes.cl,https://www.instagram.com/nomashijosrehenes.cl/reel/DQEpEHQDZ0M/
2025-10-15T16:58:01.000Z,26,1,NA,"📜 Presentamos querella criminal por el delito de aborto

Desde nuestro estudio No Más Hijos Rehenes, hemos interpuesto una querella criminal en contra de una madre por hechos que configuran el delito de aborto, en defensa del derecho a la vida y la dignidad del que está por nacer.

Nuestra labor es proteger la verdad, la justicia y los valores más esenciales, sin distinción ni miedo.
#NoMasHijosRehenes #Justicia #DerechoALaVida #AbortoEsDelito #DefensaLegal",https://www.instagram.com/nomashijosrehenes.cl/reel/DP1mBiDEhoF/
2025-10-14T00:12:25.000Z,58,0,NA,www.nomashijosrehenes.cl,https://www.instagram.com/nomashijosrehenes.cl/reel/DPxOHIVio-Q/
2025-10-13T10:54:30.000Z,65,1,NA,"Esa escena de Papá por siempre no es solo cine. Es la realidad de miles de padres en Chile que, tras una separación, pasan de compartir cada día con sus hijos a verlos solo algunos fines de semana… o, en muchos casos, a no verlos nunca más.

Padres que aman, que crían, que acompañan. Padres que de un día para otro se convierten en “visitantes” de sus propios hijos. Padres que deben demostrar que no son delincuentes, ni abusadores, ni maltratadores, solo porque alguien decidió usar a los niños como instrumentos de venganza o control.

Detrás de cada causa de familia hay historias de dolor profundo, donde el vínculo entre padre e hijo es quebrado por obstrucción parental, falsas denuncias y un sistema que sigue viendo al hombre como sospechoso antes que como padre.

Pero ser padre no es un privilegio que se concede.
Es un derecho.
Y, sobre todo, es el derecho de los hijos a amar y ser amados por ambos padres.

No más hombres separados injustamente de sus hijos.
No más niños privados del amor de su padre.
No más hijos rehenes de conflictos adultos.

Si estás viviendo una situación similar, no te calles, no te rindas.
Defiende tu derecho y el de tus hijos.
En No Más Hijos Rehenes Chile, te acompañamos jurídicamente para recuperar lo que nunca debiste perder: el vínculo con tus hijos.

💬 Contáctanos al Whatsapp +56937705593. Actúa hoy.

#NoMasHijosRehenes 
#PapáporSiempre #CrianzaCompartida #DerechosDelPadre #AlienaciónParental #ObstrucciónParental #AmorDePadre #JusticiaFamiliar #PadresChilenos #CuidadoCompartido #Revinculación #VínculoPaterno #FamiliaEsAmor",https://www.instagram.com/nomashijosrehenes.cl/reel/DPvvlwRkj-V/
2025-10-10T00:35:09.000Z,27,0,NA,www.nomashijosrehenes.cl,https://www.instagram.com/nomashijosrehenes.cl/reel/DPm9kSpDGnY/
