fecha,me_gusta,comentarios,visualizaciones,descripcion,link
2025-12-30T16:50:15.000Z,2,0,NA,"Para esas progenitoras que lo único que saben hacer es dañar a costa de sus propios hijos menores de edad. Con mentiras y engaños. 
Pronto, justicia social con nombre y apellido de las y los delincuentes emocionales que se aprovechan de los niños para obtener beneficios económicos y generar dolor. 

Cuando a un padre le arrebatan a sus hijos, todo tendrá que salir a la luz… la verdad de quienes manipularon y abusaron a menores. 

#divórcio #maltratopsicológico #violenciainfantil #maltratoinfantil",https://www.instagram.com/unpapaconsciente/p/DS5Rl5PDYsk/
2025-12-30T11:56:43.000Z,16,0,NA,"Nos han llegado muchos mensajes de progenitoras que utilizan su divorcio para hacer negocios en las redes sociales. Muchos perfiles de mamitas de corazón que son psicólogas, abogadas y otras más que utilizan su conocimiento para abusar del sistema, utilizar a sus propios hijos menores de edad y hacen perfiles en las redes sociales para hacer negocios, exponiendo a los hijos y abusando económicamente del padre. 

Pronto un espacio donde se expondrán a estas y estos delincuentes emocionales, con nombre y apellido, ya que si a un padre le quitan a sus hijos, solo queda que la sociedad juzgue. 

#divórcio #psicologanarcisismo #maltratoinfantil #abusoinfantil",https://www.instagram.com/unpapaconsciente/p/DS4wACJjXb2/
2025-12-29T22:07:29.000Z,9,0,NA,"Nos llega la terrible historia de Felipe. Siendo borrado por su ex pareja donde ella impone que los hijos hagan una vida de familia con otro hombre… donde solo sobreviven con regalos. 
La violencia infantil es más común cuando progenitora se alinean con sus nuevas parejas, donde utilizan a los niños para causarles dolor y sufrimiento con mensajes sutiles pero dolorosos. 
Personas sin límites que son capaces de destruir todo por dinero y hacer sufrir a sus propios hijos y al padre. 
Personas que enferman y manipulan a sus hijos menores de edad. 
Esto es #violenciaintrafamiliar #violenciainfantil #maltratoinfantil #divórcio",https://www.instagram.com/unpapaconsciente/p/DS3RGm8iZYC/
2025-12-28T15:38:59.000Z,37,0,NA,"Personas que utilizan a los niños para obstruir el vínculo y borrar al padre… sean testigos, psicólogos, peritos o familiares, son culpables por el dolor y daño a los menores de edad. 
Quienes hacen vista gorda o caen en la manipulación para hacer sufrir a los menores son personas dañadas que producen daño y lamentablemente así se alimentan. 
Los niños crecen y la verdad sale a luz, pero el maltrato y daño por esas personas ya está. 

Ningún juguete o paseo sana ese daño. 

#divórcio #maltratoinfantil #obstrucciónparental #hijosrehenes",https://www.instagram.com/unpapaconsciente/p/DSz_2Ufjd-9/
2025-12-25T14:55:38.000Z,21,0,NA,"La realidad de padres y madres acusados y obstruidos por personas que utilizan a sus hijos como arma para obtener beneficios económicos. 
Quienes incentivan este maltrato que Dios los perdone. 
Personas que buscan que los hijos sufran, no tienen amor a ellos, solo odio y una enseñanza donde repiten sus propios patrones enfermizos",https://www.instagram.com/unpapaconsciente/p/DSsMgJRjdwM/
2025-12-24T13:37:00.000Z,121,14,NA,#navidad #niños #regalo #padre #falsasdenuncias,https://www.instagram.com/falsas_denuncias_chile/reel/DSpeqDkjsEJ/
2025-12-23T23:01:21.000Z,639,84,NA,"A mi papá le encantaba la Navidad, era la fiesta del año que más alegría le generaba. Desde que nos reencontramos (hace 8 años aprox) hemos podido sanar desde el amor de padre e hijo, junto con luchar juntos contra las injusticias de este país. 

A mí papá le agradezco todo, hoy soy una persona muy respetada y querida por quienes me conocen, trabajo, estudio y me va bien, todo ésto era lo que siempre él quiso para mí y consiguió que así fuera. Todo eso gracias a la formación y enseñanzas que me dio con su sabiduría y amor incondicional.

En las fotos les estoy mostrando un adorno, el cual mi papá ponía en la mesa de centro para todas las navidades que pasamos juntos desde que nos volvimos a ver. Él siempre decía que los dos niños que aparecen en éste éramos mi hermano y yo, con la esperanza de que algún día ambos estuviéramos con él. 

Es muy posible que haya mucha gente que esté leyendo esto y no nos conozcamos. Pero quiero pedirles un favor, no es obligación hacerlo.

Mi petición es para quien le nazca hacerlo y lo agradecería enormemente. Les quería pedir que puedan esta Navidad encender una vela por mi papá y por todos esos padres que sufren por no ver a sus hijos producto de las falsas denuncias.

🕯️🎄🕊️

No más falsas denuncias.

Les deseo cariñosamente unas excelentes fiestas a todos quienes han apoyado a mi amadísimo padre.

Jorge Andrés Tocornal.",https://www.instagram.com/jorge.tocornal/p/DSn4Y1zj6O4cCL3YxCzrwaq2NV8R0RIsHtfSnA0/
2025-12-23T12:14:34.000Z,10,0,NA,"Maltrato a menores de edad, usándolos como escudos. 
Manipulando económicamente y dejarlos a la deriva por odio al padre. 
Así es el actuar de madres que los utilizan, no haciéndose cargo de sus responsabilidades y victimizándose día a día. 
Cuando el poder económico es superior al “amor” por un hijo. 

#divórcio #maltratopsicológico #manipulación",https://www.instagram.com/unpapaconsciente/p/DSmwerfjbKw/
2025-12-17T22:01:24.000Z,11,0,NA,"Así de simple y qué lástima como progenitoras lo realizan día a día. 

#divórcio #obstrucciondevinculos #hijosrehenes #maltratoinfantil",https://www.instagram.com/unpapaconsciente/p/DSYWs5NCdMX/
2025-12-16T14:31:23.000Z,252,37,NA,"La convocatoria del 22 de diciembre surge de las propias familias afectadas por la desvinculación parental y las fallas del sistema judicial de familia. 

No nace de partidos políticos ni de liderazgos autorreferentes que pretendan representar a todos; surge de madres, padres y abuelos que conocen de primera mano el impacto del impedimento de contacto y la falta de respuestas institucionales.

La autonomía es parte central de esta movilización. Cada familia, en cada territorio, está llamada a organizarse por sí misma y a hacerse presente en las afueras de los Tribunales de Familia, sin intermediarios ni estructuras externas que definan sus acciones o discursos. 

La fuerza de este movimiento está precisamente en que proviene de quienes viven el problema, y no de quienes intentan capitalizarlo desde fuera.

El 22 de diciembre, a las 11:30 horas, en las afueras de la Corte Suprema ( Compañía de Jesús 1140 Santiago, Región Metropolitana) , se reunirán para visibilizar una realidad que el sistema ha normalizado: la impunidad frente al impedimento de contacto y la vulneración sistemática del derecho de niños y niñas a mantener relación con ambos padres y sus familias. 

Esa misma acción puede y debe replicarse en cada región, en tribunales  de familia, de manera autónoma y coordinada entre las personas directamente afectadas.

No se trata de banderas mi logos ni de adhesión a causas ajenas a esta lucha. Se trata de que quienes han sido afectados por la desvinculación parental asuman su propio espacio, comuniquen su propia experiencia y exijan, desde su propia voz, un sistema que garantice el derecho a vínculo, identidad y corresponsabilidad. 

Cientos de familias afectadas. Una sola voz.",https://www.instagram.com/fundacion_crianza_compartida/reel/DSU-AJugPwQ/
