cuenta,etiqueta,n_publicaciones
chile_in_justo,ambas,2
chile_in_justo,ninguna,35
chile_in_justo,obstruccion_parental,30
chile_in_justo,pension_alimentos,3
falsas_denuncias_chile,ambas,44
falsas_denuncias_chile,ninguna,564
falsas_denuncias_chile,obstruccion_parental,341
falsas_denuncias_chile,pension_alimentos,85
fundacion_crianza_compartida,ambas,18
fundacion_crianza_compartida,ninguna,559
fundacion_crianza_compartida,obstruccion_parental,287
fundacion_crianza_compartida,pension_alimentos,18
hombresmaltratadoschile,ambas,1
hombresmaltratadoschile,ninguna,132
hombresmaltratadoschile,obstruccion_parental,72
hombresmaltratadoschile,pension_alimentos,19
ni1diamas,ambas,13
ni1diamas,ninguna,23
ni1diamas,obstruccion_parental,21
ni1diamas,pension_alimentos,31
padres_con_derechochile,ambas,8
padres_con_derechochile,ninguna,160
padres_con_derechochile,obstruccion_parental,350
padres_con_derechochile,pension_alimentos,8
