cuenta,etiqueta,n,proporcion
chile_in_justo,obstruccion_parental,30,0.42857142857142855
chile_in_justo,pension_alimentos,3,0.04285714285714286
chile_in_justo,ambas,2,0.02857142857142857
chile_in_justo,ninguna,35,0.5
falsas_denuncias_chile,obstruccion_parental,341,0.32978723404255317
falsas_denuncias_chile,pension_alimentos,85,0.08220502901353965
falsas_denuncias_chile,ambas,44,0.0425531914893617
falsas_denuncias_chile,ninguna,564,0.5454545454545454
fundacion_crianza_compartida,obstruccion_parental,287,0.3253968253968254
fundacion_crianza_compartida,pension_alimentos,18,0.02040816326530612
fundacion_crianza_compartida,ambas,18,0.02040816326530612
fundacion_crianza_compartida,ninguna,559,0.6337868480725624
hombresmaltratadoschile,obstruccion_parental,72,0.32142857142857145
hombresmaltratadoschile,pension_alimentos,19,0.08482142857142858
hombresmaltratadoschile,ambas,1,0.004464285714285714
hombresmaltratadoschile,ninguna,132,0.5892857142857143
ni1diamas,obstruccion_parental,21,0.23863636363636365
ni1diamas,pension_alimentos,31,0.3522727272727273
ni1diamas,ambas,13,0.14772727272727273
ni1diamas,ninguna,23,0.26136363636363635
padres_con_derechochile,obstruccion_parental,350,0.6653992395437263
padres_con_derechochile,pension_alimentos,8,0.015209125475285171
padres_con_derechochile,ambas,8,0.015209125475285171
padres_con_derechochile,ninguna,160,0.3041825095057034
