mes,etiqueta,n
2022-01-01T00:00:00Z,obstruccion_parental,13
2022-01-01T00:00:00Z,pension_alimentos,6
2022-01-01T00:00:00Z,ambas,1
2022-01-01T00:00:00Z,ninguna,36
2022-02-01T00:00:00Z,obstruccion_parental,10
2022-02-01T00:00:00Z,pension_alimentos,1
2022-02-01T00:00:00Z,ambas,0
2022-02-01T00:00:00Z,ninguna,24
2022-03-01T00:00:00Z,obstruccion_parental,23
2022-03-01T00:00:00Z,pension_alimentos,2
2022-03-01T00:00:00Z,ambas,2
2022-03-01T00:00:00Z,ninguna,27
2022-04-01T00:00:00Z,obstruccion_parental,21
2022-04-01T00:00:00Z,pension_alimentos,3
2022-04-01T00:00:00Z,ambas,3
2022-04-01T00:00:00Z,ninguna,21
2022-05-01T00:00:00Z,obstruccion_parental,15
2022-05-01T00:00:00Z,pension_alimentos,2
2022-05-01T00:00:00Z,ambas,0
2022-05-01T00:00:00Z,ninguna,22
2022-06-01T00:00:00Z,obstruccion_parental,6
2022-06-01T00:00:00Z,pension_alimentos,2
2022-06-01T00:00:00Z,ambas,0
2022-06-01T00:00:00Z,ninguna,23
2022-07-01T00:00:00Z,obstruccion_parental,4
2022-07-01T00:00:00Z,pension_alimentos,6
2022-07-01T00:00:00Z,ambas,2
2022-07-01T00:00:00Z,ninguna,8
2022-08-01T00:00:00Z,obstruccion_parental,9
2022-08-01T00:00:00Z,pension_alimentos,13
2022-08-01T00:00:00Z,ambas,3
2022-08-01T00:00:00Z,ninguna,12
2022-09-01T00:00:00Z,obstruccion_parental,4
2022-09-01T00:00:00Z,pension_alimentos,6
2022-09-01T00:00:00Z,ambas,1
2022-09-01T00:00:00Z,ninguna,10
2022-10-01T00:00:00Z,obstruccion_parental,5
2022-10-01T00:00:00Z,pension_alimentos,0
2022-10-01T00:00:00Z,ambas,2
2022-10-01T00:00:00Z,ninguna,13
2022-11-01T00:00:00Z,obstruccion_parental,14
2022-11-01T00:00:00Z,pension_alimentos,8
2022-11-01T00:00:00Z,ambas,3
2022-11-01T00:00:00Z,ninguna,27
2022-12-01T00:00:00Z,obstruccion_parental,12
2022-12-01T00:00:00Z,pension_alimentos,5
2022-12-01T00:00:00Z,ambas,2
2022-12-01T00:00:00Z,ninguna,29
2023-01-01T00:00:00Z,obstruccion_parental,15
2023-01-01T00:00:00Z,pension_alimentos,2
2023-01-01T00:00:00Z,ambas,2
2023-01-01T00:00:00Z,ninguna,11
2023-02-01T00:00:00Z,obstruccion_parental,3
2023-02-01T00:00:00Z,pension_alimentos,5
2023-02-01T00:00:00Z,ambas,1
2023-02-01T00:00:00Z,ninguna,12
2023-03-01T00:00:00Z,obstruccion_parental,10
2023-03-01T00:00:00Z,pension_alimentos,0
2023-03-01T00:00:00Z,ambas,0
2023-03-01T00:00:00Z,ninguna,15
2023-04-01T00:00:00Z,obstruccion_parental,9
2023-04-01T00:00:00Z,pension_alimentos,4
2023-04-01T00:00:00Z,ambas,0
2023-04-01T00:00:00Z,ninguna,11
2023-05-01T00:00:00Z,obstruccion_parental,12
2023-05-01T00:00:00Z,pension_alimentos,2
2023-05-01T00:00:00Z,ambas,0
2023-05-01T00:00:00Z,ninguna,8
2023-06-01T00:00:00Z,obstruccion_parental,8
2023-06-01T00:00:00Z,pension_alimentos,0
2023-06-01T00:00:00Z,ambas,0
2023-06-01T00:00:00Z,ninguna,16
2023-07-01T00:00:00Z,obstruccion_parental,27
2023-07-01T00:00:00Z,pension_alimentos,1
2023-07-01T00:00:00Z,ambas,2
2023-07-01T00:00:00Z,ninguna,22
2023-08-01T00:00:00Z,obstruccion_parental,28
2023-08-01T00:00:00Z,pension_alimentos,1
2023-08-01T00:00:00Z,ambas,1
2023-08-01T00:00:00Z,ninguna,15
2023-09-01T00:00:00Z,obstruccion_parental,15
2023-09-01T00:00:00Z,pension_alimentos,0
2023-09-01T00:00:00Z,ambas,2
2023-09-01T00:00:00Z,ninguna,11
2023-10-01T00:00:00Z,obstruccion_parental,21
2023-10-01T00:00:00Z,pension_alimentos,1
2023-10-01T00:00:00Z,ambas,0
2023-10-01T00:00:00Z,ninguna,17
2023-11-01T00:00:00Z,obstruccion_parental,6
2023-11-01T00:00:00Z,pension_alimentos,1
2023-11-01T00:00:00Z,ambas,0
2023-11-01T00:00:00Z,ninguna,16
2023-12-01T00:00:00Z,obstruccion_parental,11
2023-12-01T00:00:00Z,pension_alimentos,3
2023-12-01T00:00:00Z,ambas,0
2023-12-01T00:00:00Z,ninguna,12
2024-01-01T00:00:00Z,obstruccion_parental,19
2024-01-01T00:00:00Z,pension_alimentos,0
2024-01-01T00:00:00Z,ambas,1
2024-01-01T00:00:00Z,ninguna,18
2024-02-01T00:00:00Z,obstruccion_parental,14
2024-02-01T00:00:00Z,pension_alimentos,3
2024-02-01T00:00:00Z,ambas,0
2024-02-01T00:00:00Z,ninguna,10
2024-03-01T00:00:00Z,obstruccion_parental,19
2024-03-01T00:00:00Z,pension_alimentos,1
2024-03-01T00:00:00Z,ambas,2
2024-03-01T00:00:00Z,ninguna,17
2024-04-01T00:00:00Z,obstruccion_parental,12
2024-04-01T00:00:00Z,pension_alimentos,0
2024-04-01T00:00:00Z,ambas,2
2024-04-01T00:00:00Z,ninguna,12
2024-05-01T00:00:00Z,obstruccion_parental,12
2024-05-01T00:00:00Z,pension_alimentos,2
2024-05-01T00:00:00Z,ambas,1
2024-05-01T00:00:00Z,ninguna,12
2024-06-01T00:00:00Z,obstruccion_parental,14
2024-06-01T00:00:00Z,pension_alimentos,4
2024-06-01T00:00:00Z,ambas,2
2024-06-01T00:00:00Z,ninguna,18
2024-07-01T00:00:00Z,obstruccion_parental,12
2024-07-01T00:00:00Z,pension_alimentos,3
2024-07-01T00:00:00Z,ambas,2
2024-07-01T00:00:00Z,ninguna,31
2024-08-01T00:00:00Z,obstruccion_parental,21
2024-08-01T00:00:00Z,pension_alimentos,4
2024-08-01T00:00:00Z,ambas,4
2024-08-01T00:00:00Z,ninguna,50
2024-09-01T00:00:00Z,obstruccion_parental,51
2024-09-01T00:00:00Z,pension_alimentos,3
2024-09-01T00:00:00Z,ambas,0
2024-09-01T00:00:00Z,ninguna,44
2024-10-01T00:00:00Z,obstruccion_parental,27
2024-10-01T00:00:00Z,pension_alimentos,0
2024-10-01T00:00:00Z,ambas,0
2024-10-01T00:00:00Z,ninguna,79
2024-11-01T00:00:00Z,obstruccion_parental,33
2024-11-01T00:00:00Z,pension_alimentos,1
2024-11-01T00:00:00Z,ambas,4
2024-11-01T00:00:00Z,ninguna,55
2024-12-01T00:00:00Z,obstruccion_parental,38
2024-12-01T00:00:00Z,pension_alimentos,4
2024-12-01T00:00:00Z,ambas,1
2024-12-01T00:00:00Z,ninguna,44
2025-01-01T00:00:00Z,obstruccion_parental,11
2025-01-01T00:00:00Z,pension_alimentos,1
2025-01-01T00:00:00Z,ambas,0
2025-01-01T00:00:00Z,ninguna,13
2025-02-01T00:00:00Z,obstruccion_parental,12
2025-02-01T00:00:00Z,pension_alimentos,2
2025-02-01T00:00:00Z,ambas,3
2025-02-01T00:00:00Z,ninguna,20
2025-03-01T00:00:00Z,obstruccion_parental,24
2025-03-01T00:00:00Z,pension_alimentos,3
2025-03-01T00:00:00Z,ambas,1
2025-03-01T00:00:00Z,ninguna,36
2025-04-01T00:00:00Z,obstruccion_parental,55
2025-04-01T00:00:00Z,pension_alimentos,3
2025-04-01T00:00:00Z,ambas,2
2025-04-01T00:00:00Z,ninguna,57
2025-05-01T00:00:00Z,obstruccion_parental,50
2025-05-01T00:00:00Z,pension_alimentos,5
2025-05-01T00:00:00Z,ambas,0
2025-05-01T00:00:00Z,ninguna,54
2025-06-01T00:00:00Z,obstruccion_parental,48
2025-06-01T00:00:00Z,pension_alimentos,2
2025-06-01T00:00:00Z,ambas,4
2025-06-01T00:00:00Z,ninguna,57
2025-07-01T00:00:00Z,obstruccion_parental,25
2025-07-01T00:00:00Z,pension_alimentos,1
2025-07-01T00:00:00Z,ambas,1
2025-07-01T00:00:00Z,ninguna,39
2025-08-01T00:00:00Z,obstruccion_parental,30
2025-08-01T00:00:00Z,pension_alimentos,2
2025-08-01T00:00:00Z,ambas,0
2025-08-01T00:00:00Z,ninguna,55
2025-09-01T00:00:00Z,obstruccion_parental,49
2025-09-01T00:00:00Z,pension_alimentos,3
2025-09-01T00:00:00Z,ambas,3
2025-09-01T00:00:00Z,ninguna,55
2025-10-01T00:00:00Z,obstruccion_parental,71
2025-10-01T00:00:00Z,pension_alimentos,3
2025-10-01T00:00:00Z,ambas,6
2025-10-01T00:00:00Z,ninguna,98
2025-11-01T00:00:00Z,obstruccion_parental,58
2025-11-01T00:00:00Z,pension_alimentos,4
2025-11-01T00:00:00Z,ambas,3
2025-11-01T00:00:00Z,ninguna,72
2025-12-01T00:00:00Z,obstruccion_parental,95
2025-12-01T00:00:00Z,pension_alimentos,36
2025-12-01T00:00:00Z,ambas,17
2025-12-01T00:00:00Z,ninguna,109
